"unique_key","Entity","etr_24m","application_total_12M","application_total_24M","max_amount_approved_12M","PF_TOTAL_OS_12","ALL_PROD_STATWPRT3","UNSEC_TOTAL_LIMIT_12","CC_AVG_MIAGE1_OS_24","PL_MONS_INC_BALANCE_GE1_3M","AF_MONS_INC_BALANCE_GE1_3M","SEC_TOTAL_MIAGE1_OS_24","ALL_MIN_MIAGE1_OS_12","AF_MAX_MIAGE1_OS_6","UNSEC_AVG_MIAGE1_OS_12","AF_AVG_BALANCE_GE1_DEC_24M","PL_AVG_MIAGE1_OS_1","SEC_MIA_GE1_24","MIA1_ALLPROD_STATOK24","MIA1_ALLPROD_STATOK6","MIA1FACILITY_TYPE6","ALL_AVG_BALANCE_ALL_DEC_6M","ALL_AVG_BALANCE_ALL_INC_6M","PERC_MIA_TOTOS_M6TO24","PF_MONS_INC_BALANCE_ALL_6M","CC_PROD_ALLSTAT24","PL_PROD_ALLSTAT3","AF_PROD_ALLSTAT3","SEC_PROD_ALLSTAT24","ALL_PROD_ALLSTAT12","AF_PROD_ALLSTAT6","UNSEC_PROD_ALLSTAT12","AF_PROD_ALLSTAT24","PL_PROD_ALLSTAT1","ALL_PROD_STATOK24","ALL_PROD_ALLSTAT6","enq12ctos"
"606120702","32904279","","","","","47956","","47856","","","","","11984","","11984","","","0","1","1","OTLNFNCE","","10","0.249895738","3","","","","","1","","1","","","1","1","0"
"608140125","32484487","","7","7","6390","","","","","","","","","","","-278.5","","0","","","","-382.6","","","","","","1","2","2","1","","1","","2","2","3"
"610101854","32069718","","","1","","123382","","124704","","","","","","","","","","0","","","","-16.6","","","","","","","","1","","1","","","1","1","0"
"617121671","32757544","","2","2","80909","243440","","485454","","","","","","","","","","0","","","","-66","40622.5","","2","","","","","2","","2","","","2","2","0"
"619101586","32437166","","2","2","36400","","","","","","","144906","35813","36654","","-398.6","","4","1","1","PCPASCAR","-436.25","201","0.444573301","","","","1","1","1","1","","1","","1","1","3"
"620090036","31330127","","","","","-20","","7245","","","","","","","","","","0","","","","","","","","","","","","1","","1","","","1","1","0"
"622020226","31509700","","","","","1224993","","1231188","","","","","102569","","102656.5","","","0","1","","","-175.2","","","","","","","","1","","1","","","1","1","0"
"625011368","31450963","","1","2","","614801","","616500","","","","","","","","","","0","","","","-87","150","","2","","","","","1","","1","","","1","1","1"
"705140733","32187288","","","2","","","","","","","","","","","","-516.3636364","","0","","","","-628.75","245","","","","","1","1","1","1","","1","","1","1","0"
"707101404","31158754","","2","2","752965","","","10000","","","1","","","","","-360.4615385","","0","","","","-227.5","39032","","","1","","1","2","3","1","1","1","","3","3","1"
"711010943","32500932","","5","5","5000","69436","","86088","","","","","10281","","10285","","","0","1","1","OTLNFNCE","-4472","7483.5","0.270256067","1","1","1","","","3","","3","","1","3","3","5"
"714101429","32738902","","2","2","9580","","","","","","","","","","","","","0","","","","-114","99","","","","","","1","1","","","","","1","1","0"
"716040068","32045351","","9","10","20242","100550","","101210","","","","","19765","","19919","","","0","1","1","OTLNFNCE","-337.5","62","0.396165435","2","","","","1","2","","1","","","2","2","1"
"726120408","31378016","","","","","2420586","","2459472","","","","","","","","","","0","","","","-7783","583","","4","","","","","1","","1","","","1","1","1"
"804102097","31632184","","","","","","","","","","","94155","7161","","","","","11","2","1","OHRPCREC","-185.25","81","0.036316518","","","","","1","1","","","","","2","1","0"
"814040408","31650681","","","","","","","","","","","","","","","","","0","","","","-276.25","16","","","","","","1","1","","","","","1","1","0"
"815050608","32439112","","4","4","84500","","","","","","","","","","","-859.6666667","","0","","","","-859.6666667","","","","","","1","1","1","1","","1","","1","1","3"
"821080627","32637713","","1","1","71000","","","","","","","","","","","-544","","0","","","","-544","","","","","","1","1","1","1","","1","","1","1","0"
"901100085","31587861","","2","4","","","","","","","1","","","","","-897.5","","0","","","","-897.5","310","","","","","1","1","1","1","","1","","1","1","3"
"915030583","31289768","","","","","498","","4144","","","","75904","4200","","166","","","13","2","1","OHRPCREC","-166.75","50","0.028636299","","","","","1","2","","1","","","2","1","0"
"917141017","32499529","","4","4","77400","","","","","","","","","","","-565.3333333","","0","","","","-565.3333333","","","","","","1","1","1","1","","1","","1","1","4"
"920011301","32294744","","","1","","35872","1","361296","","","","","488","","3490.1","","","0","1","1","OTLNFNCE","","3.2","0.031107424","5","","","","","1","","1","","","1","1","0"
"920030094","32676078","","2","2","50345","151211","","151035","","","","","","","","","","0","","","","-4","","","","","","","","1","","1","","","1","1","1"
"923100123","32475542","","2","2","","90888","","92448","","","","","10115","","10173.25","","","0","1","1","OTLNFNCE","-365","8.666666667","0.558027462","3","","","","","1","","1","","","1","1","3"
"926070302","31450521","","1","3","","","","","","","1","","","","","-648","","0","","","","-398.75","100","","","","","1","2","2","1","","1","","2","2","0"
"926130678","32375816","","1","1","85518","","","","","","","","","","","-896","","0","","","","-896","293","","","","","1","1","1","1","","1","","1","1","1"
"930120018","31525982","","","","","124155","","124692","","","","","","","","","","0","","","","-17.8","","","","","","","","1","","1","","","1","1","0"
"1001060182","32444225","","","","","151413","","150656","","","","","13708","","13764.81818","","","0","1","1","OTLNFNCE","","11.4","0.546584507","5","","","","","1","","1","","","1","1","1"
"1002070016","32419228","","2","3","81000","357685","","360000","","","","","","","","","","0","","","","-26.75","82","","1","","","","","1","","1","","","1","1","0"
"1008080688","31443369","","","","","","","","","","","","","","","-1645.533333","","0","","","","-1750.4","","","","","","1","1","1","1","","1","","1","1","1"
"1009070078","31790742","","","1","","617153","","605496","","","","","","","","","","0","","","","-48.6","","","","","","","","1","","1","","","1","1","2"
"1010101695","32222402","","","","","61922","","61440","","","","","5137","","5160.166667","","","0","1","1","OTLNFNCE","","4.4","0.401495356","5","","","","","1","","1","","","1","1","1"
"1011081286","32847541","","","","","18234","","36438","","","","","18234","","18234","","","0","1","1","OTLNFNCE","-18234","","1","","","","","","1","","1","","","1","1","0"
"1017070473","32156307","","2","3","61602","553418","","554418","","","","","","","","","","0","","","","-166.5","166","","1","","","","","1","","1","","","1","1","1"
"1017130202","32350308","","","1","","16970","","29990","","","","","","","","","","0","","","","-282.5","24","","1","","","","","1","","1","","","1","1","1"
"1018060699","32374625","","2","2","5000","","","","","","","","","","","-836","","0","","","","-719.4","","","","","","1","1","1","1","","1","","1","1","5"
"1019141685","31796657","","2","3","","","","","","","","","","","","-548.1111111","","0","","","","-565.2","","","","","","1","1","1","1","","1","","1","1","2"
"1020040320","31756233","","","1","","767867","","966192","","","","","","","","","","0","","","","-1284.4","","","","","","","","1","","1","","","1","1","0"
"1021150097","31862952","","1","7","","","","","","","","","","","","-646.9444444","","0","","","","-617","","","","","","1","1","1","1","","1","","1","1","2"
"1023080037","31294105","","","","","","","","","","","","","","","","","0","","","","-755.3333333","1003","","","","","","1","1","","","","","1","1","1"
"1023140386","32682796","","3","3","5000","","","25000","","","","","","","","","","0","","","","-205.5","2269","","","1","","","","1","","1","","","1","1","0"
"1024141479","31464897","","3","4","671107","","","","","","","","","","","-337.5","","0","","","","-346","118218.3333","","","","","1","2","2","1","","1","","2","2","4"
"1026070387","31466218","","1","6","","","","","","","","114188","7836","29271","","-679.7692308","","7","2","2","PCPASCAR","-1148.5","1159","0.012616005","","","","1","3","3","1","","1","","3","3","2"
"1026100072","31555082","","","","","","","","","","2","","","","","-382.7142857","","0","","","","-677.5","119.6666667","","","","","1","1","1","1","","1","","1","1","1"
"1028100148","31544610","","6","7","","483027","","483120","","","","","","","","","","0","","","","-198.4","","","","","","","1","2","","1","","","2","2","1"
"1030020163","31147854","","","","","","","","","","","","","","","-269.8235294","","0","","","","-283","","","","","","1","1","1","1","","1","","1","1","0"
"1101131515","31389319","","","","","1439760","","1458000","","","","","","","","","","0","","","","-110","","","","","1","","","2","","2","","1","2","2","0"
"1103140159","32387721","","1","1","8410","","","","","","","","","","","","","0","","","","-136.25","124","","","","","","1","1","","","","","1","1","1"
"1110141061","32582160","","2","2","148500","","","","","","","","","","","","","0","","","","-418","74682.5","","","","","","1","1","","","","","1","1","3"
"1111011453","32721152","","3","3","45100","","","","","","","","","","","-310","","0","","","","-310","","","","","","1","1","1","1","","1","","1","1","1"
"1111030945","31764686","","","","","","","","","","","3","","","","","","1","1","","","","","","","","","","1","","","","","","1","","1"
"1113130173","32111560","","","1","","","","","","","","","","","","","","0","","","","-675.4","","","","","","","1","1","","","","","1","1","1"
"1114020523","32153412","","","1","","","","","","","","","","","","-518.9333333","","0","","","","-530.4","","","","","","1","1","1","1","","1","","1","1","0"
"1116060094","31826402","","","","","891668","","995328","","","","","30179","","59018","","","0","2","2","OTLNFNCE","-27113.66667","253","0.095826572","2","","","","","2","","2","","","2","2","2"
"1122110369","31820512","","10","13","29700","","","","","","","","","","","-180.8","","0","","","","-187","153","","","","","1","1","1","1","","1","","1","1","2"
"1124030629","31976584","","1","2","54400","","","","","","1","","","","","-650.875","","0","","","","-844","239.5","","","","","1","1","1","1","","1","","1","1","0"
"1124130208","32060731","","","1","","","","","","","","","","","","-343.3333333","","0","","","","-357.6","","","","","","1","1","1","1","","1","","1","1","1"
"1125141398","32891838","","3","3","2000","","","4000","","","","","","","","","","0","","","","","","","","1","","","","1","","1","","","1","1","4"
"1127102042","31630785","","","3","","","","","","","","113259","36762","36957","","-405","","3","1","1","PCPASCAR","-799.6666667","110","0.080716207","","","","1","1","1","1","","1","","1","1","0"
"1208030925","32721130","","2","2","6750","","","","","","","","","","","","","0","","","","-74","51","","","","","","1","1","","","","","1","1","3"
"1209060501","31261988","","5","5","50572","2478201","","2478478","","","","","","","","","","0","","","","-264","","","","","","","2","5","","3","","","5","4","2"
"1214120361","31369350","","1","1","9600","0","","416","","","","","","","","","","0","","","","-152.5","","","","","1","","1","2","","1","","1","1","2","0"
"1219081007","31045476","","","3","","","","","","","","","","","","-434.3333333","","0","","","","-566","","","","","","2","2","2","2","","2","","2","2","0"
"1225010977","31140985","","","","","1234966","","1230636","","","","","102171","","102171","","","0","1","","","","44","","5","","","","","1","","1","","","1","1","1"
"1225131488","32462592","","2","3","202020","1805943","","1818180","","","","","","","","","","0","","","","-596","587","","1","","","","","1","","1","","","1","1","2"
"1229131063","31958484","","3","8","8000","","","32000","","","","","","","","","","0","","","","-234","152776","","","1","","","1","2","","1","","","2","2","3"
"10130100448","31538025","","2","3","223000","","","","","","","","","","","-3078.5","","0","","","","-3078.5","","","","","","1","1","1","1","","1","","1","1","3"
"10130101168","32403874","","1","3","","","","","","","","","","","","-289.75","","0","","","","-296.2","","","","","","1","1","1","1","","1","","1","1","0"
"10201081169","31651448","","","","","799","","3318","","","","9121","","","","","","1","2","","","-159.4","","","","","","","1","2","","1","","","2","2","1"
"10205030166","32396561","","","1","","1222074","","1225128","","","","","","","","","","0","","","","-103.8","","","","","","","","1","","1","","","1","1","0"
"10216100588","31225654","","","","","","","","","","","","","","","","","0","","","","-314","6.5","","","","","","1","1","","","","","2","1","0"
"10219101105","32492770","","6","6","34500","","","","","","","","","","","-241.75","","0","","","","-241.75","13","","","","","1","1","1","1","","1","","1","1","4"
"10221070117","31890320","","","3","","","","","","","1","","","","","-365.875","","0","","","","-379.25","148","","","","","1","1","1","1","","1","","1","1","1"
"10321011472","31548112","","","","","","","","","","","","","","","","","0","","","","-192","100","","","","","","1","1","","","","","3","1","1"
"10323101682","32151145","","3","3","71800","","","","","","","","","","","-1233.666667","","0","","","","-1430","230","","","","","1","1","1","1","","1","","1","1","3"
"10410130342","32312142","","","1","","1866122","","1869084","","","","","","","","","","0","","","","-157.6","","","","","","","","1","","1","","","1","1","0"
"10421130399","32142523","","","5","","307618","","309540","","","","","","","","","","0","","","","-25.8","","","","","","","","1","","1","","","1","1","0"
"10427090113","32127375","","","1","","895039","","905640","","","","","","","","","","0","","","","-77.8","","","","","","","","1","","1","","","1","1","0"
"10509010498","32113355","","1","3","100085","1757909","","1767064","","","","","","","","","","0","","","","-383","","","","","","","1","3","","2","","","3","3","2"
"10509010578","32419328","","3","3","620000","148734","","3720000","","","","","","","","","","0","","","","","148734","","1","","","","","1","","1","","","1","1","3"
"10510140652","32354353","","","1","","","","","","","","","","","","-326","","0","","","","-342","166","","","","","1","1","1","1","","1","","1","1","0"
"10519070670","32079362","","","1","","","","","","","","","","","","-190.1875","","0","","","","-197.2","","","","","","1","1","1","1","","1","","1","1","0"
"10519081310","31601360","","2","3","42000","","","","","","","","","","","-414","","0","","","","-414","208","","","","","1","1","1","1","","1","","1","1","1"
"10617020124","32006763","","","2","","","","","","","","67686","33704","33982","","-310.2307692","","2","1","1","PCPASCAR","-411.5","163","0.129118285","","","","1","1","1","1","","1","","1","1","0"
"10617090149","32677860","","1","1","","","","","","","","","","","","","","0","","","","-8","","","","","","","1","1","","","","","1","1","0"
"10620060223","32390851","","3","5","52000","","","","","","","","","","","-519.8","","0","","","","-519.8","","","","","","1","1","1","1","","1","","1","1","0"
"10624010450","31563047","","","","","2491515","","2460456","","","","","","","","","","0","","","","-2683.666667","595.5","","2","","","","","1","","1","","","1","1","0"
"10627081238","32020388","","3","4","384048","","","","","","","","","","","-297.1666667","","0","","","","-238","53164","","","","","1","2","2","1","","1","","2","2","3"
"10629100148","31390239","","","1","","","","","","","","","","","","","","0","","","","-211","80","","","","","","1","1","","","","","1","1","1"
"10701130465","32439851","","","2","","","","","","","","9735","9735","","","","","1","1","","","-172.25","123","","","","","","1","1","","","","","1","1","2"
"10712020931","32209721","","1","2","42530","","","","","","","","","","","-312.1428571","","0","","","","-314","","","","","","1","1","1","1","","1","","1","1","1"
"10725030207","31500622","","2","2","11700","2142433","","2157987","","","","","","","","","","0","","","","","242.2","","5","","","","","2","","2","","","2","2","3"
"10731130087","32192297","","2","2","38500","","","","","","","","","","","-386.8","","0","","","","-386.8","","","","","","1","1","1","1","","1","","1","1","1"
"10803010341","32779292","","1","1","","","","","","","","","","","","-733","","0","","","","-733","","","","","","1","1","1","1","","1","","1","1","1"
"10804120390","31497308","","","","","","","","","","1","","","","","-1702.2","","0","","","","-343","160.5","","","","","1","1","1","1","","1","","1","1","1"
"10814040319","32703586","","4","4","70792","354513","","353960","","","","","","","","","","0","","","","-61.33333333","150","","1","","","1","1","2","1","1","1","","2","2","1"
"10830101628","32690497","","1","1","10070","","","","","","","","","","","","","0","","","","-216.5","145","","","","","","1","1","","","","","1","1","0"
"10901080394","32429153","","5","5","100620","201541","1","301860","","","","","0","","0","","","0","","","OTLNFNCE","-100861","181","0","1","","","","","1","","1","","","1","1","2"
"10903040169","32069581","","","3","","","","","","","","","","","","","","0","","","","-221.5","20","","","","","","1","1","","","","","1","1","1"
"10916020722","32692745","","5","5","50848","","","","","","","","","","","","","0","","","","","26","","","","","","1","1","","","","","1","1","8"
"10921080965","32715306","","1","1","51000","","","","","","","","","","","-493","","0","","","","-493","","","","","","1","1","1","1","","1","","1","1","1"
"10930140958","31432791","","","1","","","","","","","2","69119","69119","","","-439.1428571","","1","1","","","-320.5","284.6666667","","","","","1","1","1","1","","1","","1","1","1"
"11002050524","31760016","","","1","","","","","","","","27370","8901","","","","","3","1","1","OHRPCREC","-2164.5","3","0.106532871","","","","","1","1","","","","","1","1","0"
"11014110467","31914452","","2","6","80000","","","","","","","","","","","-571","","0","","","","-465.5","79736","","","","","1","2","2","1","","1","","2","2","1"
"11018081093","31989005","","","1","","","","","","","","","","","","","","0","","","","-140.2","","","","","","","1","1","","","","","1","1","2"
"11018100813","32006750","","","2","","","","","","","","","","","","","","0","","","","-107.2","","","","","","","1","1","","","","","1","1","0"
"11020050501","32411029","","","1","","","","","","","","31011","10247","","","","","3","1","1","OHRPCREC","-255.5","132","0.079371139","","","","","1","1","","","","","1","1","0"
"11101010528","32713413","","1","1","780","","","","","","","","","","","","","0","","","","","7.333333333","","","","","","1","1","","","","","1","1","1"
"11108120682","32402099","","","1","","567886","","567270","","","","","","","","","","0","","","","","","","","","","","","1","","1","","","1","1","0"
"11112101329","32627590","","3","3","","10255","","10242","","","","","5125","","5125","","","0","1","1","OTLNFNCE","","5","0.499756216","1","","","","","1","","1","","","1","1","1"
"11116130231","32358982","","2","2","","","","","","","","","","","","-608.8","","0","","","","-645.75","236","","","","","1","1","1","1","","1","","1","1","0"
"11206140361","32464823","","4","4","51360","103020","","102720","","","","","","","","","","0","","","","","152","","1","","","","","1","","1","","","1","1","1"
"11208120532","32308458","","1","1","50000","","","","","","","","","","","-366","","0","","","","-366","","","","","","1","1","1","1","","1","","1","1","1"
"11209140041","32307142","","7","7","19500","","","","","","","","","","","","","0","","","","-225","","","","","","","1","1","","","","","1","1","7"
"11216010878","32559764","","2","2","17000","","","","","","","","","","","-299","","0","","","","-299","","","","","","1","1","1","1","","1","","1","1","2"
"20113010861","32384227","","7","9","49500","","","","","","","","","","","-354.4","","0","","","","-354.4","","","","","","1","1","1","1","","1","","1","1","3"
"20116020125","31855037","","7","22","","","","","","","","","","","","-354.4285714","","0","","","","-348.75","76","","","","","1","1","1","1","","1","","1","1","7"
"20216080117","32042518","","9","10","10300","","","","","","","","","","","","","0","","","","-190","102","","","","","","1","1","","","","","1","1","2"
"20220110307","31789999","","","3","","","","","","","","154023","8135","","","","","17","1","1","OHRPCREC","-155.5","123","0.248260635","","","","","1","1","","","","","1","1","2"
"20222130432","32357668","","","1","","2425957","","2458656","","","","","","","","","","0","","","","-333.6","","","","","","","","1","","1","","","1","1","0"
"20319011683","31985754","","","1","","","","","","","","","","","","-485.5","","0","","","","-498.4","","","","","","1","1","1","1","","1","","1","1","1"
"20406011243","32063566","","","1","","","","","","","","84479","9112","","","","","9","1","1","OHRPCREC","-383","118.5","0.09848737","","","","","1","1","","","","","1","1","1"
"20511120353","32181992","","","1","","2223106","","2229096","","","","","","","","","","0","","","","-182.2","","","","","","","","1","","1","","","1","1","1"
"20521031274","32881313","","3","3","4350","","","","","","","","","","","","","0","","","","","47","","","","","","1","1","","","","","1","1","1"
"20602101238","31781501","","","1","","","","","","","","11366","5587","","","","","2","1","1","OHRPCREC","-149","76","0.078758818","","","","","1","1","","","","","1","1","0"
"20605101954","32412783","","4","4","50672","355666","","354704","","","","","","","","","","0","","","","-189","134","","2","","","","","1","","1","","","1","1","4"
"20807020351","32002229","","","2","","","","","","","","","","","","","","0","","","","-149","","","","","","","1","1","","","","","1","1","0"
"20930110221","32077003","","","1","","","","","","","","","","","","","","0","","","","-181.6","","","","","","","1","1","","","","","1","1","0"
"21028080843","32442735","","1","1","20401","201690","","204010","","","","","","","","","","0","","","","-87.4","","","","","","","","1","","1","","","1","1","0"
"21101141383","32132444","","","1","","","","","","","","","","","","","","0","","","","-215.5","17","","","","","","1","1","","","","","1","1","1"
"21106101604","32645742","","2","2","475821","","","","","","","","","","","","","0","","","","","","","","","","","1","1","","","","","1","1","0"
"21117110397","32097845","","","1","","1249389","","1229724","","","","","102647","","102647","","","0","1","","","","107.6","","5","","","","","1","","1","","","1","1","2"
"21124030520","32865366","","1","1","50392","101310","","100784","","","","","","","","","","0","","","","","154","","1","","","","","1","","1","","","1","1","0"
"30212060089","32421785","","","1","","","","","","","","18750","9304","","","","","2","1","1","OHRPCREC","-203.25","142","0.167806258","","","","","1","1","","","","","1","1","0"
"30326010557","32363625","","","4","","","","","","","","28008","13656","","","","","2","1","","","-283.6666667","98","","","","","","1","1","","","","","1","1","1"
"30420130416","32566747","","1","1","101337","408374","","405348","","","","","102244","","102396","","","0","1","1","OTLNFNCE","","301.6666667","0.501481485","3","","","","","1","","1","","","1","1","1"
"30609131017","32482879","","1","1","204804","1024218","","1024020","","","","","","","","","","0","","","","-333","563","","2","","","","","1","","1","","","1","1","1"
"30630070343","32812586","","1","1","26000","","","","","","","","","","","-258","","0","","","","-258","","","","","","1","1","1","1","","1","","1","1","0"
"30828040481","32644298","","2","2","5977","","","","","","","","","","","","","0","","","","-135","55","","","","","","1","1","","","","","1","1","1"
"30911011307","32692803","","1","1","50970","152911","","152910","","","","","","","","","","0","","","","-56.5","","","","","","","","1","","1","","","1","1","3"
